Student_ID,Full_Name,Date_of_Birth,Grade_Level,Emergency_Contact,Age,Age_Band,Has_Valid_Contact
S03207,Robert Williamson,2016-07-12,Grade 3,6596319325,8.0,0-14,True
S03208,Justin Becker,2016-12-31,Grade 4,967.375.5750x96988,8.0,0-14,True
S03209,Jasmine Brady,2011-09-09,Grade 4,4705187909,13.0,0-14,True
S03210,Holly Poole,2015-02-18,Grade 2,001-855-432-3184x386,10.0,0-14,True
S03211,Debbie Hodge,2011-11-19,Grade 2,(921)402-0316,13.0,0-14,True
S03212,Tiffany Hall,2011-02-18,Grade 4,001-900-661-0923x223,14.0,0-14,True
S03213,Aaron Lara,2011-02-01,Grade 5,311.749.8273,14.0,0-14,True
S03214,Douglas Williams,2009-01-29,Grade 5,357-287-9832x73476,16.0,15-19,True
S03215,Dr. Julie Davis,2008-10-02,Grade 1,753-740-1061x558,16.0,15-19,True
S03216,Robert Phillips,2009-09-24,Grade 1,(822)444-6109,15.0,15-19,True
S03217,Diane Nichols,2010-02-26,Grade 4,+1-595-326-4729x2776,15.0,15-19,True
S03218,Mr. Alexander Rosario,2016-04-06,Grade 4,001-562-814-6359x466,9.0,0-14,True
S03219,Kim Miles,2014-05-30,Grade 1,001-366-438-8611,11.0,0-14,True
S03220,Steve Henderson,2013-08-06,Grade 5,+1-661-409-3076x393,11.0,0-14,True
S03221,Jamie Hester,2014-04-19,Grade 4,989.313.0721x7408,11.0,0-14,True
S03222,Tracy Hobbs,2007-10-30,Grade 2,(605)311-6110x669,17.0,15-19,True
S03223,Julia Garrett,2014-04-10,Grade 2,886-984-0658,11.0,0-14,True
S03224,Gregory Evans,2013-05-18,Grade 4,(913)804-6774x277,12.0,0-14,True
S03225,Lauren Rhodes,2018-04-03,Grade 1,385-732-3267x060,7.0,0-14,True
S03226,Jack Johnson,2012-11-23,Grade 5,Not Provided,12.0,0-14,True
S03227,Kathy Chaney,2017-03-17,Grade 1,(461)462-9169,8.0,0-14,True
S03228,Mary Carter,2012-08-30,Grade 4,(495)240-8174x4171,12.0,0-14,True
S03229,Kathryn Gonzalez,2015-02-04,Grade 1,+1-627-628-1621x151,10.0,0-14,True
S03230,Zachary Moore,2012-07-30,Grade 4,942.981.6724x782,12.0,0-14,True
S03231,Teresa Harrell,,Grade 5,(439)820-9832,,Unknown,True
S03232,Adriana Silva,2014-11-18,Grade 5,+1-514-480-6040x0827,10.0,0-14,True
S03233,Whitney Lopez,2011-12-03,Grade 4,967-384-5292x526,13.0,0-14,True
S03234,Janice Mcgee,2016-11-25,Grade 2,8177614307,8.0,0-14,True
S03235,Dana Brooks,2006-07-22,Grade 3,Not Provided,18.0,15-19,True
S03236,Gabriel Frye,2013-04-05,Grade 3,(734)648-3455,12.0,0-14,True
S03237,Zachary Tanner,2009-08-12,Grade 3,(776)733-0340x63822,15.0,15-19,True
S03238,Michelle Osborne,2012-05-13,Grade 3,7167555260,13.0,0-14,True
S03239,Joseph James,2008-03-14,Grade 2,(951)202-5847,17.0,15-19,True
S03240,Chelsey Short,2009-01-19,Grade 2,(568)472-6654,16.0,15-19,True
S03241,Tiffany Brown,,Grade 5,232-772-3194,,Unknown,True
S03242,Mary Andrews,2012-11-21,Grade 5,001-668-897-5341,12.0,0-14,True
S03243,Jason West,2015-01-03,Grade 4,Not Provided,10.0,0-14,True
S03244,Terri Willis,2014-07-13,Grade 1,7374482991,10.0,0-14,True
S03245,Jason Jenkins,2008-01-19,Grade 1,+1-956-748-3361x587,17.0,15-19,True
S03246,Pamela Schmidt,2013-11-21,Grade 3,364.412.4883,11.0,0-14,True
S03247,Tammie Hopkins,2017-09-26,Grade 3,891.611.7901x40872,7.0,0-14,True
S03248,Susan Griffith,2011-06-10,Grade 5,373-885-9938,14.0,0-14,True
S03249,Daniel Rush,,Grade 2,791-607-1763x26548,,Unknown,True
S03250,Ashley Olsen,2014-11-19,Grade 1,001-308-982-4095x737,10.0,0-14,True
S03251,Anna Maldonado,,Grade 2,001-680-583-5402,,Unknown,True
S03252,Jennifer Garner,2015-04-06,Grade 3,+1-217-638-2344,10.0,0-14,True
S03253,Denise Wagner,2012-07-24,Grade 2,398-707-8461x110,12.0,0-14,True
S03254,Andrew Bailey,2009-06-25,Grade 1,274-411-5643,16.0,15-19,True
S03255,Janet Mitchell,2016-12-19,Grade 5,529.867.2255x021,8.0,0-14,True
S03256,Brittany Peterson,2006-09-13,Grade 2,622-744-1397x2449,18.0,15-19,True
S03257,Lindsey Lee,2017-03-21,Grade 2,861.225.6271x037,8.0,0-14,True
S03258,Nicholas Young,2015-02-02,Grade 1,610.977.2531,10.0,0-14,True
S03259,Cynthia Walker,2015-05-30,Grade 4,001-869-822-9828x7473,10.0,0-14,True
S03260,Bryan Butler,2012-02-10,Grade 4,453.259.9544x096,13.0,0-14,True
S03261,Robert Sullivan,2014-05-29,Grade 4,001-215-444-0021,11.0,0-14,True
S03262,Janice Jones,,Grade 5,+1-488-377-5281x853,,Unknown,True
S03263,Amy Andrade,,Grade 1,820.332.4839x3692,,Unknown,True
S03264,Robert Scott,2008-03-28,Grade 5,4337736848,17.0,15-19,True
S03265,Andrew Lopez,,Grade 1,(877)538-8529x57554,,Unknown,True
S03266,Stephen Wilson,2006-12-28,Grade 1,+1-220-868-8849x997,18.0,15-19,True
S03267,Monica Smith,2017-06-25,Grade 1,+1-882-963-1789x4286,7.0,0-14,True
S03268,Erica Zuniga,,Grade 4,(985)273-6680,,Unknown,True
S03269,Ashley May,2008-12-17,Grade 1,(912)268-4261,16.0,15-19,True
S03270,Rebecca Weaver,2007-10-28,Grade 1,(858)985-0795,17.0,15-19,True
S03271,Miguel Wade,2007-02-05,Grade 4,2876455884,18.0,15-19,True
S03272,Ashley Johnson,2011-07-06,Grade 2,(685)575-7769,13.0,0-14,True
S03273,Terry Matthews,,Grade 2,Not Provided,,Unknown,True
S03274,Caitlin Thompson,2018-01-21,Grade 3,582.265.8025x5802,7.0,0-14,True
S03275,Holly Dennis,2018-07-17,Grade 2,641.779.6448,6.0,0-14,True
S03276,Dustin Wells,2018-06-28,Grade 4,314.220.5809,6.0,0-14,True
S03277,Ana Wong,2011-09-07,Grade 3,940.212.2331,13.0,0-14,True
S03278,Alex Chen,2015-01-08,Grade 1,001-490-301-4745x129,10.0,0-14,True
S03279,Amy Hodges,2006-12-15,Grade 4,295.809.0722x050,18.0,15-19,True
S03280,Laura Rodriguez,2013-05-12,Grade 4,Not Provided,12.0,0-14,True
S03281,Matthew Conner,2008-02-29,Grade 4,+1-737-575-1927x570,17.0,15-19,True
S03282,Roberta Mills,2009-02-13,Grade 3,679.667.7158x4252,16.0,15-19,True
S03283,Edward Jacobson,,Grade 5,598-690-1783x688,,Unknown,True
S03284,Michelle Wright,2018-11-30,Grade 4,+1-236-737-0709,6.0,0-14,True
S03285,Mrs. Emily Evans,2018-02-18,Grade 5,001-662-701-3163x653,7.0,0-14,True
S03286,Natalie Kennedy,2010-01-27,Grade 4,292.818.0442,15.0,15-19,True
S03287,Julia Jones,2006-05-28,Grade 4,001-750-669-6975,19.0,15-19,True
S03288,Michelle Kelley,2012-03-13,Grade 5,(378)542-4499,13.0,0-14,True
S03289,Mr. Alejandro Gross Jr.,2012-04-07,Grade 3,716.272.7684,13.0,0-14,True
S03290,Laurie Miller,2016-09-03,Grade 4,001-537-896-5990x49409,8.0,0-14,True
S03291,James Brown,2007-04-21,Grade 2,Not Provided,18.0,15-19,True
S03292,Richard Quinn,2009-10-03,Grade 2,(779)591-9274x62474,15.0,15-19,True
S03293,Karina Higgins,2014-09-19,Grade 4,(532)515-2948x55225,10.0,0-14,True
S03294,Jonathan Horne,2009-01-31,Grade 5,746-511-3152x13995,16.0,15-19,True
S03295,Matthew Burns,,Grade 4,411.276.9055,,Unknown,True
S03296,Alicia Guzman,,Grade 4,585.205.4965x173,,Unknown,True
S03297,Kevin Kennedy,2016-03-26,Grade 5,2822425745,9.0,0-14,True
S03298,Judy Sullivan,2008-04-01,Grade 5,(876)202-2383x93622,17.0,15-19,True
S03299,Samantha Hunt,2015-11-13,Grade 5,(346)408-7108,9.0,0-14,True
S03300,Ryan Coleman,2012-09-24,Grade 4,(357)382-5956,12.0,0-14,True
S03301,Ruth White,2013-03-18,Grade 1,850.853.9028,12.0,0-14,True
S03302,Carrie Patterson,2015-01-28,Grade 5,231-879-1456x8119,10.0,0-14,True
S03303,Daniel Mills,2006-09-28,Grade 1,598.407.8084,18.0,15-19,True
S03304,Jamie Patton,,Grade 5,+1-863-641-3253x449,,Unknown,True
S03305,Gregory Schneider,2017-06-23,Grade 3,299-968-4240,8.0,0-14,True
S03306,Desiree Morales,2014-06-04,Grade 2,(827)809-3725,11.0,0-14,True
S03307,Shawn Bowers,2018-01-19,Grade 2,936.618.3093x31510,7.0,0-14,True
S03308,Allen West,2016-04-14,Grade 2,(655)555-8067,9.0,0-14,True
S03309,Wendy Fowler,2010-12-31,Grade 1,269-544-5422x603,14.0,0-14,True
S03310,Sherry Taylor,2008-04-29,Grade 4,813-381-5142,17.0,15-19,True
S03311,Nicole Hampton,2012-02-16,Grade 4,(521)547-2667x4550,13.0,0-14,True
S03312,Devin Cameron,2008-03-27,Grade 5,2718751940,17.0,15-19,True
S03313,Laura Perez,2014-12-17,Grade 5,696-657-5748x30164,10.0,0-14,True
S03314,Mary Hodges,2008-03-28,Grade 4,+1-915-932-8278x392,17.0,15-19,True
S03315,Peggy Brown,2013-06-21,Grade 2,(686)285-8254,12.0,0-14,True
S03316,Jonathan Lambert,2015-05-02,Grade 2,625-440-5923x244,10.0,0-14,True
S03317,Richard Rowe,2013-08-11,Grade 2,001-969-289-4138x4037,11.0,0-14,True
S03318,Sarah Ford,,Grade 4,379-207-4337,,Unknown,True
S03319,Christine Bernard,,Grade 3,+1-761-516-1468,,Unknown,True
S03320,Jessica Curtis,2015-09-29,Grade 4,839-389-9775x954,9.0,0-14,True
S03321,Rebekah Cobb,2017-08-10,Grade 2,(306)904-4287x98119,7.0,0-14,True
S03322,Gregg Clements,2012-06-26,Grade 5,001-422-791-8325x5318,12.0,0-14,True
S03323,Mark Barnett,2011-07-16,Grade 4,001-870-302-6780x16716,13.0,0-14,True
S03324,James Cruz,2006-06-12,Grade 3,001-349-608-5484x61359,19.0,15-19,True
S03325,Kimberly Martinez,2012-01-02,Grade 3,(340)933-3577x9734,13.0,0-14,True
S03326,Brittany Baker,2012-10-29,Grade 1,(200)831-4670,12.0,0-14,True
S03327,Patricia Fernandez,2009-12-05,Grade 4,213.596.7908,15.0,15-19,True
S03328,Thomas Savage,2007-07-03,Grade 3,716.853.0122,17.0,15-19,True
S03329,Cindy Fisher,2016-05-21,Grade 1,001-690-989-2297,9.0,0-14,True
S03330,Tanner Webb,2012-07-31,Grade 1,918-783-5090,12.0,0-14,True
S03331,Andrea Yates,,Grade 2,001-709-527-6447,,Unknown,True
S03332,Robert Faulkner,2016-10-22,Grade 1,879.871.6105x83491,8.0,0-14,True
S03333,Jeffrey Randolph,2014-08-04,Grade 1,(708)206-2337x52984,10.0,0-14,True
S03334,Randy Schultz,2008-06-02,Grade 3,200-697-8386x4493,17.0,15-19,True
S03335,Sarah Flores,2016-08-30,Grade 5,650.410.0674,8.0,0-14,True
S03336,Dustin Ward,2013-02-21,Grade 1,Not Provided,12.0,0-14,True
S03337,Kristen Torres,2008-06-09,Grade 3,420.903.2576,17.0,15-19,True
S03338,James Alexander,2017-08-04,Grade 4,001-991-979-7547x97535,7.0,0-14,True
S03339,Tara Grimes,,Grade 1,399.858.7684x07871,,Unknown,True
S03340,Kimberly Shields,2014-02-28,Grade 3,(422)784-1983,11.0,0-14,True
S03341,Mr. Christopher Carpenter,2008-08-09,Grade 2,253.210.9318x924,16.0,15-19,True
S03342,Mary Hammond,2014-02-14,Grade 5,222-260-2398x506,11.0,0-14,True
S03343,Jason Rose,2010-04-22,Grade 5,001-525-200-1084x0437,15.0,15-19,True
S03344,Erica Watson,2015-11-17,Grade 1,Not Provided,9.0,0-14,True
S03345,Angela Navarro,2009-01-31,Grade 4,571-360-8760x0850,16.0,15-19,True
S03346,Erica Johnson,2010-09-24,Grade 2,595-812-4862,14.0,0-14,True
S03347,Mark Bray,2017-05-03,Grade 1,2183882914,8.0,0-14,True
S03348,Sara Wells,2015-04-18,Grade 2,384-521-8597,10.0,0-14,True
S03349,Daniel Clark,2013-02-18,Grade 1,001-657-493-4940x3307,12.0,0-14,True
S03350,Dana Garcia,2010-11-08,Grade 1,(603)677-3051x9429,14.0,0-14,True
S03351,James Burch,2015-09-15,Grade 3,879-739-5976x9749,9.0,0-14,True
S03352,Nicole Garcia,2014-09-06,Grade 1,294-794-4313x69141,10.0,0-14,True
S03353,George Todd,2016-11-15,Grade 2,001-929-492-1257x710,8.0,0-14,True
S03354,Jessica Morrison,2006-08-24,Grade 3,001-953-841-1765x240,18.0,15-19,True
S03355,Mark Doyle,2016-05-29,Grade 1,649-377-9895,9.0,0-14,True
S03356,Dana Atkinson,,Grade 1,902-431-7248,,Unknown,True
S03357,Darin Lewis,2006-11-19,Grade 5,001-858-524-2246x922,18.0,15-19,True
S03358,Mark Roach,2014-02-16,Grade 5,+1-877-737-7937x030,11.0,0-14,True
S03359,Lindsey Martinez,2015-06-05,Grade 3,001-726-916-8599x1335,10.0,0-14,True
S03360,Corey Santos,2010-10-20,Grade 4,993-662-9512x29800,14.0,0-14,True
S03361,Ernest Moore,,Grade 1,278.279.8177,,Unknown,True
S03362,Robert Martin,2019-01-09,Grade 5,(410)819-3908,6.0,0-14,True
S03363,Colleen Mcpherson,,Grade 1,(934)908-6145,,Unknown,True
S03364,Michael Cardenas,2017-10-30,Grade 4,621-633-5193x884,7.0,0-14,True
S03365,Jessica Sanders,2014-05-18,Grade 4,001-942-321-0700x1448,11.0,0-14,True
S03366,Robert Buchanan,,Grade 1,+1-724-734-9082,,Unknown,True
S03367,Chelsea Gaines,2007-03-12,Grade 2,(988)436-6147,18.0,15-19,True
S03368,Angela May,2006-06-16,Grade 1,669-942-3208,19.0,15-19,True
S03369,Christine Glover,2015-07-02,Grade 5,816.759.3544x24410,9.0,0-14,True
S03370,Rachel Bell,2016-03-27,Grade 3,623.909.4004x19044,9.0,0-14,True
S03371,Ashley Edwards,2006-04-20,Grade 1,947.829.4172,19.0,15-19,True
S03372,Michele Johnson,2013-03-17,Grade 1,(840)377-7087,12.0,0-14,True
S03373,Jeanette Morgan,2018-10-18,Grade 4,001-569-408-7709x55080,6.0,0-14,True
S03374,William Meyer,2010-06-08,Grade 3,349-488-3484,15.0,15-19,True
S03375,Mrs. Stephanie Ramirez,2011-06-02,Grade 1,277-431-9576,14.0,0-14,True
S03376,Amanda Simpson,2006-11-18,Grade 5,+1-677-858-6223x462,18.0,15-19,True
S03377,Shane Landry,,Grade 5,001-779-654-2004,,Unknown,True
S03378,Nicholas Snyder,2015-02-26,Grade 5,963.292.8185x174,10.0,0-14,True
S03379,Jordan Klein,2012-07-30,Grade 4,001-533-887-8810x539,12.0,0-14,True
S03380,Carolyn Garcia,2008-11-22,Grade 5,(591)487-8569x379,16.0,15-19,True
S03381,Karen Kennedy,2013-03-11,Grade 3,717.553.4996,12.0,0-14,True
S03382,Kimberly Fields,2016-05-30,Grade 5,(389)495-5601x532,9.0,0-14,True
S03383,Holly Calderon,2018-03-12,Grade 4,(966)396-4242,7.0,0-14,True
S03384,Shane Collins,2013-12-19,Grade 1,(367)533-4135x00703,11.0,0-14,True
S03385,Christopher Jones,2009-06-26,Grade 3,001-529-490-3871x0817,16.0,15-19,True
S03386,Michael Skinner,2016-03-22,Grade 5,+1-881-793-0332,9.0,0-14,True
S03387,Andrew Clark,2008-01-17,Grade 2,(917)310-3916x521,17.0,15-19,True
S03388,Scott Hancock,2018-02-16,Grade 4,(989)353-4120x94539,7.0,0-14,True
S03389,Kathleen Jackson,2012-09-04,Grade 2,6878061222,12.0,0-14,True
S03390,Nicole Richardson,2013-11-09,Grade 3,868.522.3410x14065,11.0,0-14,True
S03391,Amanda Holmes,2007-09-09,Grade 1,433-263-2038x4706,17.0,15-19,True
S03392,James Reyes,2007-11-07,Grade 4,8153572072,17.0,15-19,True
S03393,Haley Peters,2006-06-13,Grade 2,603.481.8695,19.0,15-19,True
S03394,Casey Smith,2014-12-08,Grade 1,+1-749-624-1036x98803,10.0,0-14,True
S03395,Candice Roberts,2013-05-29,Grade 2,200.547.4702x78558,12.0,0-14,True
S03396,Renee Mason,2014-08-14,Grade 4,+1-643-586-4568x9946,10.0,0-14,True
S03397,Danielle Thornton,2006-07-24,Grade 2,(434)895-5299x33457,18.0,15-19,True
S03398,Dana Campbell,2010-08-31,Grade 4,633.532.4869x486,14.0,0-14,True
S03399,Brian Lynn,2014-01-25,Grade 3,(660)612-6357,11.0,0-14,True
S03400,Sean Cohen,,Grade 5,392-345-3313x54946,,Unknown,True
S03401,Jeremy Phillips,2007-03-23,Grade 4,+1-491-537-6873x969,18.0,15-19,True
S03402,Ashley Ramirez,2009-10-07,Grade 4,732-968-2845x5589,15.0,15-19,True
S03403,Mitchell Norris,2006-09-28,Grade 3,559-396-6453,18.0,15-19,True
S03404,Stephanie Cannon,,Grade 3,001-220-743-5045,,Unknown,True
S03405,Lee Hill,2012-05-04,Grade 1,603.326.6102,13.0,0-14,True
S03406,Cynthia Krueger,2014-01-31,Grade 4,+1-299-738-0095x1945,11.0,0-14,True
S03407,Kevin Johnson,2010-07-30,Grade 2,001-683-340-0867x556,14.0,0-14,True
S03408,Michelle Holmes,2015-05-18,Grade 2,+1-879-552-2881x17885,10.0,0-14,True
S03409,Eric Johns,2011-06-10,Grade 1,+1-739-220-0572x961,14.0,0-14,True
S03410,Crystal Mccarty,2018-01-13,Grade 1,640.706.6128x961,7.0,0-14,True
S03411,Jose Stewart,2010-05-27,Grade 4,001-952-865-6827x1840,15.0,15-19,True
S03412,Robert Jacobson,2008-05-26,Grade 5,253.437.8678x69687,17.0,15-19,True
S03413,Laura Burke,2016-08-26,Grade 2,001-234-314-8498x707,8.0,0-14,True
S03414,Alexandria Love,2006-11-23,Grade 4,+1-203-486-4349x68425,18.0,15-19,True
S03415,Lucas Wood,2014-04-04,Grade 3,(511)630-7144x951,11.0,0-14,True
S03416,Julia Zimmerman,,Grade 4,+1-812-815-9413x376,,Unknown,True
S03417,Jeffrey Spencer,2015-02-17,Grade 1,001-403-985-6349,10.0,0-14,True
S03418,Julie Ochoa,2016-11-17,Grade 2,001-504-479-6621x6173,8.0,0-14,True
S03419,Jesse Petty,2015-11-17,Grade 1,257-823-8528,9.0,0-14,True
S03420,Joshua Fernandez,2006-11-13,Grade 5,+1-524-380-5484,18.0,15-19,True
S03421,Alexandria Andrews,2010-07-13,Grade 1,(242)432-5564,14.0,0-14,True
S03422,Autumn Martinez,2012-01-13,Grade 1,585.291.7106x226,13.0,0-14,True
S03423,Raymond Myers,2010-11-28,Grade 2,678-463-1314,14.0,0-14,True
S03424,Cheryl Morales,2014-12-15,Grade 1,638.802.6193,10.0,0-14,True
S03425,Austin Ramos,2017-07-03,Grade 3,+1-815-712-1663x93620,7.0,0-14,True
S03426,Benjamin Maldonado,2008-05-12,Grade 1,411.427.4634x8310,17.0,15-19,True
S03427,Robert Lawrence,2019-01-02,Grade 2,001-278-593-0030x6606,6.0,0-14,True
S03428,David Taylor,2013-04-11,Grade 2,001-353-228-9841x529,12.0,0-14,True
S03429,Nicole Dyer,2017-09-17,Grade 3,223-504-3902,7.0,0-14,True
S03430,Sandra Freeman,2007-05-14,Grade 2,6427619770,18.0,15-19,True
S03431,Sean Wood,2015-04-16,Grade 1,880.418.0204x0504,10.0,0-14,True
S03432,Megan Morrison,2016-07-30,Grade 5,6232841967,8.0,0-14,True
S03433,Victoria Garza,2006-09-20,Grade 5,+1-359-614-3973,18.0,15-19,True
S03434,Priscilla Rodriguez,2006-10-20,Grade 1,+1-208-670-2086x19467,18.0,15-19,True
S03435,Brian Diaz,2016-12-29,Grade 4,001-221-224-7242x7565,8.0,0-14,True
S03436,Raymond Russell,2006-08-21,Grade 2,923.735.5865,18.0,15-19,True
S03437,Lindsey Weber,2008-01-03,Grade 4,(685)970-5262,17.0,15-19,True
S03438,Brenda Simpson,2009-12-23,Grade 5,001-295-204-1417,15.0,15-19,True
S03439,Lucas Daniels,2012-02-28,Grade 4,248-403-9970x49584,13.0,0-14,True
S03440,Bobby Mooney,2013-03-04,Grade 3,+1-406-995-3987x7147,12.0,0-14,True
S03441,Nicholas Taylor,2014-10-06,Grade 4,001-761-238-5645x244,10.0,0-14,True
S03442,Nicholas Flores,2006-11-02,Grade 5,(466)221-8046,18.0,15-19,True
S03443,Karen Patton,2010-06-18,Grade 1,428-853-7078,15.0,15-19,True
S03444,Andrea Wright,2012-12-24,Grade 4,210.442.7441,12.0,0-14,True
S03445,Jesus Phillips,2008-10-14,Grade 1,410.306.5254,16.0,15-19,True
S03446,Katherine Smith,2013-08-07,Grade 1,001-854-642-7493,11.0,0-14,True
S03447,Daniel Lopez,2014-11-12,Grade 4,001-209-969-0879x7881,10.0,0-14,True
S03448,Joan Jensen,2014-09-18,Grade 2,958.762.9597,10.0,0-14,True
S03449,Megan Gibson,2010-06-20,Grade 1,375-885-3779x38017,15.0,15-19,True
S03450,Mark Myers,,Grade 4,241-897-6405x02222,,Unknown,True
S03451,Antonio Brown,2015-09-20,Grade 2,(274)892-2645,9.0,0-14,True
S03452,Amanda Hubbard,2013-01-17,Grade 5,Not Provided,12.0,0-14,True
S03453,Michael Weiss,2016-12-20,Grade 1,556.909.2903,8.0,0-14,True
S03454,Sean Dean,,Grade 3,746.904.4901x730,,Unknown,True
S03455,Timothy Woodard,2017-03-18,Grade 4,+1-835-748-3888x33053,8.0,0-14,True
S03456,Chelsea Brown,2017-10-14,Grade 1,(966)222-6712,7.0,0-14,True
S03457,Jonathan Washington,2012-03-15,Grade 5,(580)857-2175,13.0,0-14,True
S03458,Garrett Kim,2017-04-26,Grade 5,672.525.4287x64920,8.0,0-14,True
S03459,Andrew Ewing,,Grade 5,(587)481-5758x268,,Unknown,True
S03460,Emily Marsh,,Grade 3,001-257-710-6434x54688,,Unknown,True
S03461,Pam Miller,2015-02-09,Grade 2,912-532-0339,10.0,0-14,True
S03462,Steven Berger,2011-02-25,Grade 4,292-396-1920x58967,14.0,0-14,True
S03463,Joseph Bradshaw,2014-04-25,Grade 2,001-322-248-5521x6995,11.0,0-14,True
S03464,Lindsey Parker,2014-06-02,Grade 3,771-964-7776,11.0,0-14,True
S03465,Jason Reese,2015-08-31,Grade 5,716.627.8031x7107,9.0,0-14,True
S03466,Keith Allen,2011-11-28,Grade 4,257-333-1763,13.0,0-14,True
S03467,Alyssa Oliver,2012-03-11,Grade 5,391-525-5542x5239,13.0,0-14,True
S03468,Brandon Gomez,2018-11-23,Grade 2,501-251-7299x295,6.0,0-14,True
S03469,Renee Perez,,Grade 3,389.627.1739,,Unknown,True
S03470,Phillip Torres,2010-05-11,Grade 3,725.720.3757,15.0,15-19,True
S03471,Justin Elliott,2015-12-15,Grade 4,977-649-7518,9.0,0-14,True
S03472,Noah Wilson,2011-07-11,Grade 2,700-796-6698x013,13.0,0-14,True
S03473,Scott Simmons,,Grade 5,762.773.9995x77448,,Unknown,True
S03474,Michelle Glenn,2010-11-25,Grade 1,+1-993-727-7767x7766,14.0,0-14,True
S03475,Justin Alexander,,Grade 3,4607447281,,Unknown,True
S03476,Natalie Tran,2013-12-09,Grade 3,001-859-479-6590,11.0,0-14,True
S03477,Jacob Waters,2012-12-17,Grade 3,(345)256-1750x1669,12.0,0-14,True
S03478,Gail Weeks,2017-03-27,Grade 5,001-450-752-1790x19911,8.0,0-14,True
S03479,Richard Park,2008-10-27,Grade 4,Not Provided,16.0,15-19,True
S03480,Kevin Montgomery,2017-12-08,Grade 4,916.799.1315,7.0,0-14,True
S03481,David Khan,2012-10-14,Grade 2,001-415-918-1021x7368,12.0,0-14,True
S03482,Ryan Mccoy,2009-07-15,Grade 5,001-240-244-1607x9843,15.0,15-19,True
S03483,Melissa Garza,2014-10-17,Grade 4,+1-429-508-0189x010,10.0,0-14,True
S03484,Kenneth Gallegos,,Grade 1,848.653.4445x12803,,Unknown,True
S03485,Sophia Deleon,2016-09-07,Grade 4,001-949-467-1477x225,8.0,0-14,True
S03486,Marcus Johnston,2010-10-19,Grade 1,Not Provided,14.0,0-14,True
S03487,Robert Lowery,,Grade 5,992.900.8083x656,,Unknown,True
S03488,Jaime Burke,2018-02-13,Grade 1,8328972683,7.0,0-14,True
S03489,Norman Payne,2015-01-30,Grade 5,(276)680-0801x864,10.0,0-14,True
S03490,Jeffrey Gomez,2015-05-16,Grade 3,608.233.5806x4456,10.0,0-14,True
S03491,Danielle Torres,2010-08-03,Grade 5,+1-817-995-9449x09983,14.0,0-14,True
S03492,Robert Ramos,2016-10-17,Grade 5,001-568-269-1077x9743,8.0,0-14,True
S03493,Meghan Martinez,2009-09-20,Grade 2,378-526-9463x7093,15.0,15-19,True
S03494,Jeffrey Robinson,2016-04-01,Grade 5,(793)313-8188x561,9.0,0-14,True
S03495,Justin Jarvis,2008-07-11,Grade 3,(275)993-4201,16.0,15-19,True
S03496,Anna Becker,,Grade 5,464.925.2503x85898,,Unknown,True
S03497,Roberta Bush,2012-12-20,Grade 3,7977665422,12.0,0-14,True
S03498,Brenda Gonzalez,2008-07-01,Grade 4,493.266.9079,16.0,15-19,True
S03499,Michael Wu,2013-04-17,Grade 2,484.803.1147x19181,12.0,0-14,True
S03500,Rhonda Klein,2016-07-07,Grade 2,001-773-897-5594,8.0,0-14,True
S03501,Jeremy Gonzalez,2013-01-16,Grade 3,(351)412-6006x20568,12.0,0-14,True
S03502,Elaine Smith,2007-04-01,Grade 2,545-396-4465x19942,18.0,15-19,True
S03503,Rebecca Watson,2013-12-21,Grade 2,4139949635,11.0,0-14,True
S03504,Christopher Thompson,2018-11-08,Grade 1,001-353-504-9891,6.0,0-14,True
S03505,Amanda Cervantes,2017-06-18,Grade 5,+1-692-771-5060x354,8.0,0-14,True
S03506,Ashley Fischer,2012-12-11,Grade 3,001-525-254-1820x413,12.0,0-14,True
S03507,Cynthia David,2006-12-30,Grade 1,650.944.5627x7880,18.0,15-19,True
S03508,Mark Galloway,2007-05-02,Grade 2,(290)749-7541x51837,18.0,15-19,True
S03509,Stephen Pierce,2016-05-22,Grade 1,+1-709-232-2641x435,9.0,0-14,True
S03510,Adriana Butler,2016-07-30,Grade 4,(536)866-3036x6922,8.0,0-14,True
S03511,Karen Vaughan,2013-10-29,Grade 1,9852972945,11.0,0-14,True
S03512,Christopher Brown,2015-06-25,Grade 5,Not Provided,10.0,0-14,True
S03513,David Thompson,2008-07-27,Grade 2,(992)824-8678x041,16.0,15-19,True
S03514,Brandon White,2014-08-26,Grade 1,+1-288-929-1878x4026,10.0,0-14,True
S03515,Hannah Lewis,2018-07-22,Grade 5,001-722-854-5204x9428,6.0,0-14,True
S03516,Gary Rodriguez,2007-01-08,Grade 3,+1-784-456-7467,18.0,15-19,True
S03517,Amber Brooks,2016-09-22,Grade 1,(456)502-9655x08087,8.0,0-14,True
S03518,Christopher Good,2010-10-12,Grade 4,692-987-5830,14.0,0-14,True
S03519,Kevin Solis,,Grade 4,5909434577,,Unknown,True
S03520,Spencer Baker,2007-07-22,Grade 1,800.215.0143x6265,17.0,15-19,True
S03521,Martin Taylor,2018-03-26,Grade 1,001-474-460-6135,7.0,0-14,True
S03522,David Willis,2011-06-14,Grade 3,(921)649-0878x95230,14.0,0-14,True
S03523,Jesse Perry,2015-05-16,Grade 3,(485)765-4748,10.0,0-14,True
S03524,Sergio Klein,2007-02-18,Grade 5,(668)779-8601,18.0,15-19,True
